2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.79 ms | Cache MISS
2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 146.46 ms | Cache MISS
2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 193.91 ms | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.68 ms | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.51 ms | Cache MISS
2025-10-28 09:33:57 | ximangquantrieu.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 171.27 ms | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.71 ms | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.33 ms | Cache MISS
2025-10-28 09:33:58 | shishioh.info | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 183.70 ms | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.79 ms | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.99 ms | Cache MISS
2025-10-28 09:33:59 | vpndefender.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:34:00 | hutago.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 172.45 ms | Cache MISS
2025-10-28 09:34:00 | hutago.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:34:00 | hutago.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 290.27 ms | Cache MISS
2025-10-28 09:34:00 | hutago.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:34:00 | hutago.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 116.14 ms | Cache MISS
